,student_num,age,average_hours,mark,percentage,time_taken
0,1,18,5,125,96.1,180
1,2,19,4.90,124,95.38,178
2,3,20,4.80,123,94.61,176
3,4,21,4.70,122,93.84,174
4,5,22,4.60,121,93.07,172
5,6,23,4.50,120,92.30,170
6,7,24,4.40,119,91.53,168
7,8,25,4.30,118,90.76,166
8,9,26,4.20,117,90,164
9,10,27,4.10,116,89.23,162
10,11,28,4.00,115,88.46,160
11,12,29,3.90,114,87.69,158
12,13,30,3.80,113,86.92,156
13,14,31,3.70,112,86.15,154
14,15,32,3.60,111,85.38,152
15,16,33,3.50,110,84.61,150
16,17,34,3.40,109,83.84,148
17,18,35,3.30,108,83.07,146
18,19,36,3.20,107,82.30,144
19,20,37,3.10,106,81.53,142
