,student_num,age,average_hours,mark,percentage,time_taken
1.0,6.0,23.0,4.5,120.0,92.3,170.0
2.0,2.0,19.0,4.9,124.0,95.38,178.0
3.0,3.0,20.0,4.8,123.0,94.61,176.0
4.0,1.0,18.0,5.0,125.0,96.1,180.0
5.0,5.0,22.0,4.6,121.0,93.07,172.0
6.0,5.0,22.0,4.6,121.0,93.07,172.0
7.0,6.0,23.0,4.5,120.0,92.3,170.0
8.0,2.0,19.0,4.9,124.0,95.38,178.0
9.0,8.0,25.0,4.3,118.0,90.76,166.0
10.0,3.0,20.0,4.8,123.0,94.61,176.0
11.0,3.0,20.0,4.8,123.0,94.61,176.0
12.0,1.0,18.0,5.0,125.0,96.1,180.0
13.0,5.0,22.0,4.6,121.0,93.07,172.0
14.0,5.0,22.0,4.6,121.0,93.07,172.0
15.0,4.0,21.0,4.7,122.0,93.84,174.0
16.0,1.0,18.0,5.0,125.0,96.1,180.0
17.0,3.0,20.0,4.8,123.0,94.61,176.0
18.0,7.0,24.0,4.4,119.0,91.53,168.0
19.0,2.0,19.0,4.9,124.0,95.38,178.0
20.0,5.0,22.0,4.6,121.0,93.07,172.0
21.0,8.0,25.0,4.3,118.0,90.76,166.0
22.0,2.0,19.0,4.9,124.0,95.38,178.0
23.0,3.0,20.0,4.8,123.0,94.61,176.0
24.0,4.0,21.0,4.7,122.0,93.84,174.0
25.0,5.0,22.0,4.6,121.0,93.07,172.0
26.0,3.0,20.0,4.8,123.0,94.61,176.0
27.0,8.0,25.0,4.3,118.0,90.76,166.0
28.0,1.0,18.0,5.0,125.0,96.1,180.0
29.0,8.0,25.0,4.3,118.0,90.76,166.0
30.0,8.0,25.0,4.3,118.0,90.76,166.0
31.0,8.0,25.0,4.3,118.0,90.76,166.0
32.0,2.0,19.0,4.9,124.0,95.38,178.0
33.0,4.0,21.0,4.7,122.0,93.84,174.0
34.0,9.0,26.0,4.2,117.0,90.0,164.0
35.0,4.0,21.0,4.7,122.0,93.84,174.0
36.0,2.0,19.0,4.9,124.0,95.38,178.0
37.0,9.0,26.0,4.2,117.0,90.0,164.0
38.0,1.0,18.0,5.0,125.0,96.1,180.0
39.0,7.0,24.0,4.4,119.0,91.53,168.0
40.0,9.0,26.0,4.2,117.0,90.0,164.0
41.0,8.0,25.0,4.3,118.0,90.76,166.0
42.0,6.0,23.0,4.5,120.0,92.3,170.0
43.0,6.0,23.0,4.5,120.0,92.3,170.0
44.0,4.0,21.0,4.7,122.0,93.84,174.0
45.0,7.0,24.0,4.4,119.0,91.53,168.0
46.0,5.0,22.0,4.6,121.0,93.07,172.0
47.0,6.0,23.0,4.5,120.0,92.3,170.0
48.0,2.0,19.0,4.9,124.0,95.38,178.0
49.0,2.0,19.0,4.9,124.0,95.38,178.0
50.0,7.0,24.0,4.4,119.0,91.53,168.0
51.0,8.0,25.0,4.3,118.0,90.76,166.0
52.0,4.0,21.0,4.7,122.0,93.84,174.0
53.0,8.0,25.0,4.3,118.0,90.76,166.0
54.0,4.0,21.0,4.7,122.0,93.84,174.0
55.0,3.0,20.0,4.8,123.0,94.61,176.0
56.0,7.0,24.0,4.4,119.0,91.53,168.0
57.0,1.0,18.0,5.0,125.0,96.1,180.0
58.0,3.0,20.0,4.8,123.0,94.61,176.0
59.0,9.0,26.0,4.2,117.0,90.0,164.0
60.0,7.0,24.0,4.4,119.0,91.53,168.0
61.0,1.0,18.0,5.0,125.0,96.1,180.0
62.0,7.0,24.0,4.4,119.0,91.53,168.0
63.0,7.0,24.0,4.4,119.0,91.53,168.0
64.0,2.0,19.0,4.9,124.0,95.38,178.0
65.0,3.0,20.0,4.8,123.0,94.61,176.0
